 Calibration of amptek channel to energy (20 Aug 2014) A=-0.29036  B=0.00568913  (egy = A + B * chan_num)
 48 Cd  L      .00      .00      .00  4018.00  3727.00  3538.00  3133.70  3126.90  3020.59  3240.25  3038.00  3488.00  3588.00  4038.00  2      .00  4518.00
 49 In  K 27940.00 24209.70 24002.00      .00      .00      .00  3133.70  3126.90 23185.93 25032.83 27440.00 27890.00 27990.00 28440.00  3 32440.00      .00
 49 In  L      .00      .00      .00  4238.00  3938.00  3730.00  3286.90  3279.30  3167.80  3398.65  3230.00  3680.00  3780.00  4230.00  2      .00  4738.00
 50 Sn  K 29200.00 25271.30 25044.00      .00      .00      .00  3286.90  3279.30 24192.50 26130.53 28700.00 29150.00 29250.00 29700.00  3 33700.00      .00
 50 Sn  L      .00      .00      .00  4465.00  4156.00  3929.00  3444.00  3435.40  3318.60  3561.10  3429.00  3879.00  3979.00  4429.00  2      .00  4965.00
 51 Sb  K 30491.00 26359.10 26110.80      .00      .00      .00  3444.00  3435.40 25223.03 27255.31 29991.00 30441.00 30541.00 30991.00  3 34991.00      .00
 51 Sb  L      .00      .00      .00  4698.00  4380.00  4132.00  3604.70  3595.30  3473.06  3727.26  3632.00  4082.00  4182.00  4632.00  2      .00  5198.00
 52 Te  K 31814.00 27472.30 27201.70      .00      .00      .00  3604.70  3595.30 26276.84 28406.36 31314.00 31764.00 31864.00 32314.00  3 36314.00      .00
 52 Te  L      .00      .00      .00  4939.00  4612.00  4341.00  3769.30  3758.80  3631.00  3897.46  3841.00  4291.00  4391.00  4841.00  2      .00  5439.00
 53 I   K 33169.00 28612.00 28317.20      .00      .00      .00  3769.30  3758.80 27354.41 29584.81 32669.00 33119.00 33219.00 33669.00  3 37669.00      .00
 53 I   L      .00      .00      .00  5188.00  4852.00  4557.00  3937.70  3926.00  3792.52  4071.58  4057.00  4507.00  4607.00  5057.00  2      .00  5688.00
 54 Xe  K 34561.00 29779.00 29458.00      .00      .00      .00  3937.70  3926.00 28456.43 30791.49 34061.00 34511.00 34611.00 35061.00  3 39061.00      .00
 54 Xe  L      .00      .00      .00  5453.00  5107.00  4786.00  4109.90  4109.90  3970.16  4249.64  4286.00  4736.00  4836.00  5286.00  2      .00  5953.00
 55 Cs  L      .00      .00      .00  5714.00  5359.00  5012.00  4286.50  4272.20  4126.95  4432.24  4512.00  4962.00  5062.00  5512.00  2      .00  6214.00
 56 Ba  L      .00      .00      .00  5989.00  5624.00  5247.00  4466.30  4450.90  4299.57  4618.15  4747.00  5197.00  5297.00  5747.00  2      .00  6489.00
 57 La  L      .00      .00      .00  6266.00  5891.00  5483.00  4651.00  4634.20  4476.64  4809.13  4983.00  5433.00  5533.00  5983.00  2      .00  6766.00
 58 Ce  L      .00      .00      .00  6548.00  6164.00  5723.00  4840.20  4823.00  4659.02  5004.77  5223.00  5673.00  5773.00  6223.00  2      .00  7048.00
 59 Pr  L      .00      .00      .00  6835.00  6440.00  5964.00  5033.70  5013.50  4843.04  5204.85  5464.00  5914.00  6014.00  6464.00  2      .00  7335.00
 60 Nd  L      .00      .00      .00  7126.00  6722.00  6208.00  5230.40  5207.70  5030.64  5408.23  5708.00  6158.00  6258.00  6708.00  2      .00  7626.00
